theta,log_moneyness,total_variance,implied_vol
0.01,0.6767676767676769,0.007830989305307684,0.12514782703113694
0.01,0.696969696969697,0.007773344959998085,0.12468636621538126
0.01,0.7171717171717173,0.007716207756723833,0.12422727362961672
0.01,0.7373737373737375,0.007659586194703086,0.12377064429583523
0.01,0.7575757575757578,0.0076034887583736515,0.12331657437971305
0.01,0.7777777777777779,0.0075479239056756775,0.12286516109683557
0.01,0.7979797979797982,0.007492900055818403,0.12241650261152213
0.01,0.8181818181818183,0.00743842557654906,0.12197069792822422
0.01,0.8383838383838385,0.007384508770946194,0.12152784677551227
0.01,0.8585858585858588,0.007331157863764046,0.12108804948271358
0.01,0.8787878787878789,0.007278380987359239,0.12065140684931311
0.01,0.8989898989898992,0.007226186167235505,0.12021802000728098
0.01,0.9191919191919193,0.007174581307246977,0.11978799027654631
0.01,0.9393939393939394,0.007123574174505113,0.11936141901389337
0.01,0.9595959595959598,0.007073172384039006,0.1189384074556155
0.01,0.9797979797979799,0.007023383383263297,0.11851905655432207
0.01,1.0,0.006974214436312216,0.11810346681035418
0.01240506329113924,-1.0,0.016995045194952978,0.18436401598442673
0.01240506329113924,-0.9797979797979798,0.016898259885509217,0.18383829788979889
0.01240506329113924,-0.9595959595959596,0.016801594256303582,0.18331172497308285
0.01240506329113924,-0.9393939393939394,0.016705050558539967,0.18278430216263084
0.01240506329113924,-0.9191919191919192,0.01660863109487905,0.18225603471423957
0.01240506329113924,-0.898989898989899,0.016512338220729603,0.18172692822325262
0.01240506329113924,-0.8787878787878788,0.01641617434557075,0.18119698863706732
0.01240506329113924,-0.8585858585858586,0.016320141934305706,0.1806662222680582
0.01240506329113924,-0.8383838383838383,0.016224243508647332,0.1801346358069282
0.01240506329113924,-0.8181818181818181,0.016128481648535913,0.17960223633649952
0.01240506329113924,-0.797979797979798,0.016032858993589496,0.17906903134595606
0.01240506329113924,-0.7777777777777778,0.015937378244587127,0.1785350287455497
0.01240506329113924,-0.7575757575757576,0.015842042164985217,0.1780002368817818
0.01240506329113924,-0.7373737373737373,0.015746853582467274,0.1774646645530725
0.01240506329113924,-0.7171717171717171,0.015651815390527183,0.1769283210259295
0.01240506329113924,-0.696969696969697,0.015556930550086112,0.17639121605162833
0.01240506329113924,-0.6767676767676767,0.015462202091143157,0.17585335988341624
